Date,symbol,Open,High,Low,Close,Trades,Volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2019-10-03 00:00:00+00:00,XBTUSD,8314,8386,8173,8377.5,554557,1537659900,8258.3203,1,1.86E+13,186200.1034,1537659900
2019-10-04 00:00:00+00:00,XBTUSD,8377.5,8420.5,8070,8240.5,583640,1946444699,8216.2517,1,2.37E+13,236921.0963,1946444699
2019-10-05 00:00:00+00:00,XBTUSD,8240.5,8243,8020,8154.5,598438,1680861122,8139.3456,1000,2.07E+13,206514.1372,1680861122
2019-10-06 00:00:00+00:00,XBTUSD,8154.5,8200,8022,8146.5,462778,1247070981,8101.7581,3370,1.54E+13,153931.2422,1247070981
2019-10-07 00:00:00+00:00,XBTUSD,8146.5,8172,7770,7861,649843,2177529708,7953.5513,349,2.74E+13,273797.6161,2177529708
2019-10-08 00:00:00+00:00,XBTUSD,7861,8307.5,7765,8208,781365,2790485285,8059.3166,500,3.46E+13,346247.1147,2790485285
2019-10-09 00:00:00+00:00,XBTUSD,8208,8332.5,8095.5,8180,564760,1775864658,8208.8327,90838,2.16E+13,216351.7771,1775864658
2019-10-10 00:00:00+00:00,XBTUSD,8180,8692,8111.5,8587.5,731377,2918198967,8424.5998,1,3.46E+13,346414.5989,2918198967
2019-10-11 00:00:00+00:00,XBTUSD,8587.5,8662.5,8466,8586.5,585807,1820350604,8556.5158,4902,2.13E+13,212760.6818,1820350604
2019-10-12 00:00:00+00:00,XBTUSD,8586.5,8821.5,8222,8266,711915,2840802059,8450.2282,19000,3.36E+13,336191.7198,2840802059
2019-10-13 00:00:00+00:00,XBTUSD,8266,8399.5,8252,8305,350255,914764702,8333.3333,1000,1.10E+13,109773.971,914764702
2019-10-14 00:00:00+00:00,XBTUSD,8305,8466,8150,8278,477670,1600848345,8345.1556,5000,1.92E+13,191839.5814,1600848345
2019-10-15 00:00:00+00:00,XBTUSD,8278,8406,8221,8358,437998,1383917320,8307.7179,27,1.67E+13,166595.064,1383917320
2019-10-16 00:00:00+00:00,XBTUSD,8358,8420,8076,8156,513081,1833941267,8251.5059,5000,2.22E+13,222267.6734,1833941267
2019-10-17 00:00:00+00:00,XBTUSD,8156,8175,7912.5,7995.5,471379,1714484458,8032.7737,4804,2.13E+13,213443.6108,1714484458
2019-10-18 00:00:00+00:00,XBTUSD,7995.5,8123,7937.5,8070.5,451661,1379848088,8038.5852,192,1.72E+13,171655.7078,1379848088
2019-10-19 00:00:00+00:00,XBTUSD,8070.5,8112,7799.5,7951,538095,2025413894,7931.4721,1,2.55E+13,255365.5425,2025413894
2019-10-20 00:00:00+00:00,XBTUSD,7951,8110,7868,7960,483691,1515391394,7967.4926,2000,1.90E+13,190210.7512,1515391394
2019-10-21 00:00:00+00:00,XBTUSD,7960,8318,7866,8233,620683,2151767217,8068.4202,4353,2.67E+13,266702.3454,2151767217
2019-10-22 00:00:00+00:00,XBTUSD,8233,8357,8155.5,8204.5,454199,1615409161,8228.421,400,1.96E+13,196320.8929,1615409161
2019-10-23 00:00:00+00:00,XBTUSD,8204.5,8313,7981.5,8019,519118,1943310865,8180.6283,8536,2.38E+13,237551.8666,1943310865
2019-10-24 00:00:00+00:00,XBTUSD,8019,8044.5,7298,7468,688115,3184348868,7634.7534,500,4.17E+13,417108.2984,3184348868
2019-10-25 00:00:00+00:00,XBTUSD,7468,7504.5,7355,7424,443118,1438106601,7439.9226,5000,1.93E+13,193301.4928,1438106601
2019-10-26 00:00:00+00:00,XBTUSD,7424,8790,7380.5,8668,959864,5046279493,8128.0988,178,6.21E+13,620851.0328,5046279493
2019-10-27 00:00:00+00:00,XBTUSD,8668,10584.5,8645,9264.5,1609422,8255466579,9416.1959,500,8.77E+13,876772.8554,8255466579
2019-10-28 00:00:00+00:00,XBTUSD,9264.5,9832.5,9105,9556,1109775,4626756280,9489.4667,1000,4.88E+13,487602.3889,4626756280
2019-10-29 00:00:00+00:00,XBTUSD,9556,9944,9167,9226,926100,3712381533,9512.0327,1000,3.90E+13,390313.5095,3712381533
2019-10-30 00:00:00+00:00,XBTUSD,9226,9565.5,9058,9438,815914,3366567658,9384.3844,195,3.59E+13,358769.4785,3366567658
2019-10-31 00:00:00+00:00,XBTUSD,9438,9438.5,8990,9165,743087,2909978028,9181.0503,50,3.17E+13,316977.4235,2909978028
2019-11-01 00:00:00+00:00,XBTUSD,9165,9440,8947,9153.5,753138,3047547927,9172.6289,45,3.32E+13,332273.5899,3047547927
2019-11-02 00:00:00+00:00,XBTUSD,9153.5,9316,9055,9255.5,623349,2196031702,9170.9464,1000,2.39E+13,239464.0577,2196031702
2019-11-03 00:00:00+00:00,XBTUSD,9255.5,9412,9212.5,9313.5,414004,1233087720,9298.0009,1,1.33E+13,132622.1998,1233087720
2019-11-04 00:00:00+00:00,XBTUSD,9313.5,9389.5,9065,9205.5,443304,1507073624,9206.4077,900,1.64E+13,163700.0598,1507073624
2019-11-05 00:00:00+00:00,XBTUSD,9205.5,9617,9135,9426.5,528366,2071601009,9324.8788,1500,2.22E+13,222171.1042,2071601009
2019-11-06 00:00:00+00:00,XBTUSD,9426.5,9485,9180,9317,597937,2138589698,9328.3582,31,2.29E+13,229263.8005,2138589698
2019-11-07 00:00:00+00:00,XBTUSD,9317,9462,9250,9347,456775,1578464842,9350.1636,2500,1.69E+13,168820.8719,1578464842
2019-11-08 00:00:00+00:00,XBTUSD,9347,9377.5,9073.5,9213,494827,1704656593,9222.5399,100,1.85E+13,184846.8797,1704656593
2019-11-09 00:00:00+00:00,XBTUSD,9213,9254,8670,8765,722495,3279777209,8932.5592,1,3.67E+13,367175.0888,3279777209
2019-11-10 00:00:00+00:00,XBTUSD,8765,8880,8726,8806,386174,1143494672,8806.6931,416,1.30E+13,129850.351,1143494672
2019-11-11 00:00:00+00:00,XBTUSD,8806,9200,8757,9038.5,467835,1750868912,8943.7439,400,1.96E+13,195778.1753,1750868912
2019-11-12 00:00:00+00:00,XBTUSD,9038.5,9075,8571.5,8717.5,531744,2222292847,8781.1732,2000,2.53E+13,253094.9165,2222292847
2019-11-13 00:00:00+00:00,XBTUSD,8717.5,8872.5,8550,8818,533815,2167911140,8719.9163,255,2.49E+13,248625.0104,2167911140
2019-11-14 00:00:00+00:00,XBTUSD,8818,8847.5,8709.5,8764,350399,1080815478,8758.1012,2500,1.23E+13,123417.3074,1080815478
2019-11-15 00:00:00+00:00,XBTUSD,8764,8794,8550.5,8630.5,462501,1697709913,8649.0227,4000,1.96E+13,196298.3287,1697709913
2019-11-16 00:00:00+00:00,XBTUSD,8630.5,8795,8350,8456,634624,2682084979,8557.248,17,3.13E+13,313453.733,2682084979
2019-11-17 00:00:00+00:00,XBTUSD,8456,8532.5,8420,8484.5,271821,786045873,8477.45,5219,9.27E+12,92725.0723,786045873
2019-11-18 00:00:00+00:00,XBTUSD,8484.5,8640,8380,8506,357247,1303273609,8517.1621,600,1.53E+13,153019.1934,1303273609
2019-11-19 00:00:00+00:00,XBTUSD,8506,8506.5,8006,8173.5,553784,2474151019,8322.237,200,2.97E+13,297305.0187,2474151019
2019-11-20 00:00:00+00:00,XBTUSD,8173.5,8198.5,7983.5,8123,470404,2020621821,8093.8891,100,2.50E+13,249649.6209,2020621821
2019-11-21 00:00:00+00:00,XBTUSD,8123,8239,8026,8080,385685,1520604781,8107.0126,3,1.88E+13,187575.3364,1520604781
2019-11-22 00:00:00+00:00,XBTUSD,8080,8117.5,7350,7614,627779,3216585080,7756.1467,7415,4.15E+13,414740.9292,3216585080
2019-11-23 00:00:00+00:00,XBTUSD,7614,7721,6736,7275.5,1077233,5640533528,7236.9373,2028,7.79E+13,779421.0823,5640533528
2019-11-24 00:00:00+00:00,XBTUSD,7275.5,7350,7101,7322.5,567839,1904791671,7234.843,1,2.63E+13,263297.0132,1904791671
2019-11-25 00:00:00+00:00,XBTUSD,7322.5,7346,6858,6902.5,690546,2723772449,7115.9183,3401,3.83E+13,382777.4426,2723772449
2019-11-26 00:00:00+00:00,XBTUSD,6902.5,7389,6516,7124,1095813,4690779276,6912.2831,31,6.79E+13,678653.6476,4690779276
2019-11-27 00:00:00+00:00,XBTUSD,7124,7357,7012.5,7160.5,715425,2548690727,7148.9848,237,3.57E+13,356516.2335,2548690727
2019-11-28 00:00:00+00:00,XBTUSD,7160.5,7667,6831,7525,863388,3562514343,7247.4272,13315,4.92E+13,491586.8115,3562514343
2019-11-29 00:00:00+00:00,XBTUSD,7525,7662.5,7365,7424.5,613938,2007567886,7515.9714,4953,2.67E+13,267117.1035,2007567886
2019-11-30 00:00:00+00:00,XBTUSD,7424.5,7870,7412,7749,629206,2298676734,7633.0051,3595,3.01E+13,301171.5506,2298676734
2019-12-01 00:00:00+00:00,XBTUSD,7749,7821,7450,7549.5,477694,1580574227,7625.4385,970,2.07E+13,207280.0191,1580574227
2019-12-02 00:00:00+00:00,XBTUSD,7549.5,7550,7225,7399,698756,2330800876,7348.6185,1500,3.17E+13,317194.9822,2330800876
2019-12-03 00:00:00+00:00,XBTUSD,7399,7421,7160,7300.5,576910,1849164060,7294.4781,5200,2.54E+13,253507.5923,1849164060
2019-12-04 00:00:00+00:00,XBTUSD,7300.5,7422,7237.5,7294.5,406522,1231391989,7319.0368,119,1.68E+13,168249.4537,1231391989
